Logan,Morrison,FA,1B,0.098021675027208433
Hector,Sanchez,FA,C,0.10036657803827539
Tyler,Saladino,FA,3B,0.10171270936506829
Bryan,Holaday,FA,C,0.10278543340544535
Chris,Parmelee,FA,1B,0.10694124219469696
Welington,Castillo,WIND,C,0.11620923022495817
Thomas,Pham,FA,CF,0.11740579792961163
Cory,Spangenberg,POLLOS,2B,0.12211088957829924
Ketel,Marte,DIPA,SS,0.12437361008935649
Byung,Park,PWRS,1B,0.12895965839614409
Mike,Moustakas,WORKS,3B,0.13885272384254166
Jimmy,Rollins,FA,SS,0.13903819987576993
Brandon,Snyder,FA,1B,0.14137445497157017
Ehire,Adrianza,FA,2B,0.14440537353148267
Tommy,Joseph,FA,C,0.14679529324273741
Ramiro,Pena,FA,2B,0.15990717954018252
Brett,Nicholas,FA,C,0.16100474870042258
Michael,Taylor,BALK,CF,0.17011876092949979
Cheslor,Cuthbert,MICE,3B,0.17328398720492133
Curtis,Granderson,BUSTERS,RF,0.17713748187846662
Jorge,Soler,WHACK,RF,0.17721661843896638
Kelby,Tomlinson,FA,2B,0.18159786875834361
Billy,Hamilton,WIND,CF,0.1845234375037845
Ryan,Zimmerman,WHACK,1B,0.19281316285513386
David,Peralta,BALK,LF,0.19338985708111012
Tony,Wolters,FA,C,0.20015574657472329
Jorge,Polanco,FA,SS,0.20018184038143627
Sandy,Leon,FA,C,0.20479489998290204
Hyun,Kim,FISHFRY,LF,0.21335584550352543
Christian,Bethancourt,FA,C,0.21375974009809029
Chase,Utley,ICHI,2B,0.22839885058924914
Josh,Rutledge,FA,2B,0.22987710418359097
Marco,Hernandez,FA,SS,0.23283077343970701
Adam,Rosales,FA,1B,0.23549428234077247
Kirk,Nieuwenhuis,FA,CF,0.23908250182341917
Michael,Bourn,FA,CF,0.24199849791257888
Jefry,Marte,FA,1B,0.24486218524229958
Joe,Mauer,AIDS,1B,0.2498620455675758
Tommy,Stella,FA,2B,0.25765785900138849
Eric,Fryer,FA,C,0.25808148360065714
Mitch,Moreland,POLLOS,1B,0.26148228749599051
Marwin,Gonzalez,MICE,1B,0.26275612293332712
Tim,Anderson,FISHFRY,SS,0.26464824944984
Brett,Eibner,FA,RF,0.27513623823668587
Lucas,Duda,CHOICE,1B,0.27740829976344844
Hernan,Perez,FA,3B,0.28030095289456525
Jedd,Gyorko,WIND,2B,0.29842346995184366
Derek,Norris,PWRS,C,0.3005693858652968
Rickie,Weeks,FA,LF,0.30115372268653806
Drew,Stubbs,FA,CF,0.30159670758150386
Geovany,Soto,FA,C,0.30717685952973073
Shane,Robinson,FA,CF,0.30791123480221955
Corey,Dickerson,ICHI,LF,0.31581157256849718
Alex,Rodriguez,POLLOS,DH,0.31607790457692414
Marlon,Byrd,FA,RF,0.31802328178867667
Jarrett,Parker,FA,RF,0.33903066151681965
